geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10696778,Jogimandi Pahar,22.36595,80.88478,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696792,Mohrai Dongar,22.26561,80.89968,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10696793,Poligarh Dadar,22.25945,80.91719,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10696795,Salewara Dongar,22.30164,80.89765,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10696813,Bhalu Dongar,22.38917,80.94677,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696821,Khaparkhar Dongar,22.36149,80.96497,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696822,Chhindpani Dongar,22.35393,80.99502,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696833,Bhoka Dongar,22.27552,80.94696,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10696880,Bawarianwali,30.96249,74.59514,S,Mosque,23.0,43.0,10000,2.81,Less Explored
10697286,Lodhabarra,22.20774,80.97421,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10697864,Sakhi Sarwar,31.34487,75.02628,S,Temple,23.0,50.0,20000,2.83,Less Explored
